qlab_cue_number,projector,clip_part,clip_id,source,osc_file,osc_list_name,pixera_catalog_name,alias_note,suggested_filename
KI_Adam.AffenSlowOdysee,adam,AffenSlowOdysee,affenslowodysee,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_Adam.AffenSlowOdysee,AffenSlowOdysee,,AffenSlowOdysee.mp4
KI_Adam.Avatar,adam,Avatar,avatar,database+atmosphere,OSCBefehlliste.txt,KI_Adam.Avatar,Avatar,,Avatar.mp4
KI_Adam.Avatar2,adam,Avatar2,avatar2,database+atmosphere,OSCBefehlliste.txt,KI_Adam.Avatar2,Avatar2,,Avatar2.mp4
KI_Adam.Avatar_IV_Video,adam,Avatar_IV_Video,avatar_iv_video,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_Adam.Avatar_IV_Video,Avatar_IV_Video,,Avatar_IV_Video.mp4
KI_Adam.Avatar_IV_Video2,adam,Avatar_IV_Video2,avatar_iv_video2,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_Adam.Avatar_IV_Video2,Avatar_IV_Video2,,Avatar_IV_Video2.mp4
KI_Adam.BAK1_NicolasPflanzen3,adam,BAK1_NicolasPflanzen3,bak1_nicolaspflanzen3,avatar,OSCBefehllisteAvatare.txt,KI_Adam.BAK1_NicolasPflanzen3,BAK1_NicolasPflanzen3,,BAK1_NicolasPflanzen3.mp4
KI_Adam.BAK2_Krabbe,adam,BAK2_Krabbe,bak2_krabbe,avatar,OSCBefehllisteAvatare.txt,KI_Adam.BAK2_Krabbe,BAK2_Krabbe,,BAK2_Krabbe.mp4
KI_Adam.BAK3_Hasen,adam,BAK3_Hasen,bak3_hasen,avatar,OSCBefehllisteAvatare.txt,KI_Adam.BAK3_Hasen,BAK3_Hasen,,BAK3_Hasen.mp4
KI_Adam.BAK3_Mavie,adam,BAK3_Mavie,bak3_mavie,avatar,OSCBefehllisteAvatare.txt,KI_Adam.BAK3_Mavie,BAK3_Mavie,,BAK3_Mavie.mp4
KI_Adam.BAK4_Inge,adam,BAK4_Inge,bak4_inge,avatar,OSCBefehllisteAvatare.txt,KI_Adam.BAK4_Inge,BAK4_Inge,,BAK4_Inge.mp4
KI_Adam.BAK5_Thiemo,adam,BAK5_Thiemo,bak5_thiemo,avatar,OSCBefehllisteAvatare.txt,KI_Adam.BAK5_Thiemo,BAK5_Thiemo,,BAK5_Thiemo.mp4
KI_Adam.BAK6_Azaria,adam,BAK6_Azaria,bak6_azaria,avatar,OSCBefehllisteAvatare.txt,KI_Adam.BAK6_Azaria,BAK6_Azaria,,BAK6_Azaria.mp4
KI_Adam.BK0_Waran,adam,BK0_Waran,bk0_waran,avatar,OSCBefehllisteAvatare.txt,KI_Adam.BK0_Waran,BK0_Waran,,BK0_Waran.mp4
KI_Adam.BK1_Caro,adam,BK1_Caro,bk1_caro,avatar,OSCBefehllisteAvatare.txt,KI_Adam.BK1_Caro,BK1_Caro,,BK1_Caro.mp4
KI_Adam.BK1_Caroline,adam,BK1_Caroline,bk1_caroline,avatar,OSCBefehllisteAvatare.txt,KI_Adam.BK1_Caroline,BK1_Caroline,,BK1_Caroline.mp4
KI_Adam.BK1_Thomas,adam,BK1_Thomas,bk1_thomas,avatar,OSCBefehllisteAvatare.txt,KI_Adam.BK1_Thomas,BK1_Thomas,,BK1_Thomas.mp4
